t,foot_x,foot_y,foot_z,foot_vx_true,foot_vy_true,foot_vz_true,foot_vx_est,foot_vy_est,foot_vz_est,contact_normal_force,hip_tau,knee_tau,hybrid_state,hybrid_state_id,joint1_pos,joint1_vel_true,joint2_pos,joint2_vel_true,joint3_pos,joint3_vel_true,joint4_pos,joint4_vel_true,joint1_vel_est,joint2_vel_est,joint3_vel_est,joint4_vel_est
2.7929999999998034,-0.2528282444521596,-0.6835876587481919,0.10983873823605894,0.2782099851590688,-0.001814429745217977,-0.48573728055597953,-0.006329602356488017,0.0032721285098299873,-0.000251202617450307,0.0,0.22295963561046825,-0.4325374646042542,FLIGHT,0,1.1492690423542242,0.3618505815668791,-0.059326891587070406,0.6702014047699711,0.22971010524237148,-0.06409863775841268,-0.43031374201810446,0.00732027127111456,nan,nan,-0.02808853948187867,-0.0018677149269151914
2.7939999999998033,-0.2525494143864873,-0.6835893275337245,0.10935203583785547,0.27944830427844386,-0.0015214854503246555,-0.4876677203495311,-0.00623714712711036,0.003221725556319082,-0.000247125143565156,0.0,0.2236764277227508,-0.4321342739818827,FLIGHT,0,1.1496306861415435,0.36143777758058176,-0.05865516277698137,0.6732551980550694,0.2296495279208986,-0.05707750564961886,-0.43030746514768614,0.0052468267366834785,nan,nan,-0.027673437913180957,-0.0018401132284878734
2.794999999999803,-0.2522693432931974,-0.6835907028406942,0.10886340082098117,0.28069201371200636,-0.0012274467388267152,-0.4896024875871999,-0.006146037972063238,0.0031720928882377486,-0.00024315102525265743,0.0,0.22428033971404587,-0.431759023909103,FLIGHT,0,1.1499919174146704,0.36102555260517716,-0.05798038202569947,0.6763052970670731,0.22959593815450322,-0.05012328726969122,-0.43030320173863795,0.0032928608069148282,nan,nan,-0.027264470850424587,-0.0018129194369338655
2.795999999999803,-0.2519880270702089,-0.6835917828710378,0.10837282907847362,0.2819385427805731,-0.0009309101350915144,-0.49154114203462557,-0.006056255529826367,0.003123218971903345,-0.00023927764007096518,0.0,0.22477162725078115,-0.4314127654799572,FLIGHT,0,1.1503527370940632,0.36061458783090844,-0.05730255324008028,0.6793512777478926,0.22954926347850685,-0.04324705607024004,-0.43030083441581674,0.0014541733557505527,nan,nan,-0.026861547635886295,-0.0017861275240727739
2.796999999999803,-0.25170546417424383,-0.6835925644320692,0.10788031694579853,0.2831853445403721,-0.000630489860003608,-0.4934832391376148,-0.005967780702397139,0.0030750924465103363,-0.00023550233217575284,0.0,0.22515063635203728,-0.4310965137682907,FLIGHT,0,1.150713146776169,0.3602055540636629,-0.056621680746406916,0.6823927252646451,0.22950942047477205,-0.03645964624372537,-0.4303002500659777,-0.0002735584992173787,nan,nan,-0.02646457895161211,-0.0017597315508106146
2.797999999999803,-0.25142165559379326,-0.6835930429559774,0.10738586120429694,0.28442990237381327,-0.0003248214322317672,-0.49542833176461576,-0.005880594652205816,0.00302770212094351,-0.00023182241904124616,0.0,0.22541796435194517,-0.4308111365806022,FLIGHT,0,1.1510731487222408,0.3597991101275151,-0.055937769280780834,0.6854292347760496,0.22947631502162666,-0.029771631438655462,-0.43030133995042746,-0.001894760255200444,nan,nan,-0.026073476799617842,-0.0017337256658232656
2.7989999999998028,-0.2511366048155716,-0.6835932125228706,0.10688945908290798,0.285669736409797,-1.2565147794879605e-05,-0.49737597191521155,-0.005794678799093152,0.002981036970677036,-0.00022823519803469728,0.0,0.2255744558695855,-0.4305573549801424,FLIGHT,0,1.1514327458455778,0.35939590131808413,-0.0552508239787596,0.6884604121723601,0.22944984256470408,-0.023193304210431778,-0.43030399979771533,-0.003413940242774268,nan,nan,-0.02568815448238211,-0.001708104104259375
2.7999999999998026,-0.2508503177846472,-0.6835930658872326,0.10639110825819875,0.2869024097590211,0.00030759056959393793,-0.49932571238859125,-0.005710014817345295,0.0029350861347579305,-0.00022473795282862186,0.0,0.22562119820693033,-0.4303357442491794,FLIGHT,0,1.1517919416972506,0.3589965579103396,-0.054560850364268616,0.6914858747875914,0.2294298884079414,-0.01673465625312035,-0.4303081298767479,-0.004835670252642735,nan,nan,-0.025308526583627696,-0.0016828611864624385
2.8009999999998025,-0.2505628028584325,-0.6835925945076664,0.1058908068527501,0.2881255345504451,0.0006369259544228012,-0.5012771084062376,-0.005626584632780861,0.002889838912872112,-0.0002213279596367396,0.0,0.22555951619339976,-0.4301467352777191,FLIGHT,0,1.1521507404503606,0.358601693724279,-0.05386785433781513,0.6945052520828471,0.229416328023933,-0.010405359455003808,-0.43031363505075776,-0.006164566616389546,nan,nan,-0.024934508949386893,-0.001657991316711762
2.8019999999998024,-0.2502740707547467,-0.683591788579773,0.10538855343194756,0.28933677775575944,0.0009766868280372543,-0.5032297191833838,-0.005544370419885434,0.002845284762491428,-0.0002180024932607348,0.0,0.22539096649600296,-0.4299906163667043,FLIGHT,0,1.1525091468828963,0.3582119047516881,-0.05317184216403401,0.6975181862996193,0.22940902738279537,-0.004214747818327107,-0.43032042481260213,-0.00740527178470024,nan,nan,-0.02456601866934669,-0.0016334889819820315
